emerald-green-graduation-tassel,Emerald Green Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_emerald_one_color_tassel_2018-2.jpg,4.95,"<p><b>Emerald Green Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Emerald Green Tassel. The tassel is an essential part of graduation regalia, Emerald Green Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_emerald_green_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/emerald_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
hunter-graduation-tassel,Hunter Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/hunter_high_school_one_color_tassel_bling_18.jpg,4.95,"<p><b>Hunter Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Hunter Tassel. The tassel is an essential part of graduation regalia, Hunter Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_hunter_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_hunter_one_color_tassel_2018-2.jpg,,,, , , , , , ,, ,  ,,
black-graduation-tassel,Black Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_black_one_color_tassel_2018-2.jpg,4.95,"Black graduation tassel. The tassel is an essential part of graduation regalia. The graduation tassel position can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy graduation tassels in bulk now for extra savings! We also offer a <a href=""https://www.graduationworld.com/black-graduation-jumbo-tassel"">large black graduation tassel</a>.",An essential piece of regalia at all academic levels, this elegant black tassel is versatile and classic. It even features a year charm to commemorate the big day. Buy black tassels online from Graduation World individually or in bulk for extra savings!, Black Graduation Tassel | Buy Graduation Tassels , graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active 
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_black_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/black_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
double-color-graduation-tassel,Double Color Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/gw-ac-ts-018-1_5.jpg,4.95,"Two Color Graduation Tassel. If you are having trouble deciding which color tassel is for you; perhaps you are torn between a school or team color; then the double color tassel is for you. We will create a customized graduation cap tassel just for you in the colors of your choice. The tassel is 9"" long; with a 6"" hang loop and comes with a year charm signet; meaning your tassel is something to hold onto to remember your achievement! Order your double tassel online from Graduation World to give yourself something extra special for graduation day.</p> ",If you're having difficulty choosing a color for your graduation tassel, then this two-color tassel is for you. Buy this graduation cap tassel online today., Two Color Graduation Tassel | Graduation Cap Tassel, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active 
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/gw-ac-ts-018-3.png,,,, , , , , , ,, ,  ,,
