name,color,description
Matte Red Graduation Cap with Tassel,Red,Matte Red Cap with Tassel  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Matte Maroon Graduation Cap with Tassel,Maroon,Matte Maroon Cap with Tassel  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Matte Green Graduation Cap with Tassel,Green,Matte Green Cap with Tassel  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Matte Emerald Green Graduation Cap with Tassel,Green,Matte Emerald Green Cap with Tassel  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Matte Hunter Graduation Cap with Tassel,,Matte Hunter Cap with Tassel  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Matte Black Graduation Cap with Tassel,Black,Matte Black Cap with Tassel  &bull;Non see through fabric with a matte finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child White Graduation Cap with Tassel,White,Child White Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Silver Graduation Cap with Tassel,Silver,Child Silver Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Light Blue Graduation Cap with Tassel,Light Blue,Child Light Blue Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
Child Royal Blue Graduation Cap with Tassel,Royal Blue,Child Royal Blue Cap with Tassel  &bull;Non see through fabric with a sleek shiny finish  &bull;Mortarboard measures 9" by 9"  &bull;One size fits all with an elastic back  &bull;Button at the top of the mortarboard allows tassel to be easily fixed  &bull;Tassel is 9" long and includes a hang loop to attach to the cap   &bull;Each tassel includes a current year drop charm   
